,Unnamed: 0.1,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
13953,55263,55263.0,6wKKcAUaLYDy7bN1uFD0E5,Ravator;Paradox,Shor Sharaba,Shor Sharaba,55.0,137461.0,True,0.822,0.423,8.0,-11.737,0.0,0.254,0.368,0.0,0.0872,0.386,115.033,4.0,indian
13955,33901,33901.0,0dc3ds3WAOo6TazfgBuT0E,Yung Pinch,4EVERFRIDAY SZN TWO,20 Years Later,55.0,215188.0,True,0.762,0.518,9.0,-7.283,0.0,0.109,0.232,1.11e-06,0.113,0.547,144.942,4.0,emo
13959,21903,21903.0,6EnfbMj5Ui3jkIw8CDaYIW,Kranium,Wi Deh Yah,Wi Deh Yah,55.0,146400.0,True,0.648,0.725,11.0,-7.064,0.0,0.266,0.063,0.0,0.111,0.563,100.192,4.0,dancehall
13968,32386,32386.0,0G51Gckb1jFoH0ZFaN49xN,Poshlaya Molly,ОЧЕНЬ СТРАШНАЯ МОЛЛИ 3 (Часть 1),ПОРНХАБ КРИСМАС КЛАБ,55.0,246743.0,True,0.72,0.677,2.0,-7.595,1.0,0.0917,0.0093,0.003,0.0566,0.229,110.026,4.0,electronic
13973,33863,33863.0,3QVIBuVrIe5IHOZepa7JBZ,XXXTENTACION;Kin$oul;Killstation,Revenge,Slipknot,55.0,209098.0,True,0.448,0.541,4.0,-11.34,0.0,0.397,0.47,0.0,0.1,0.237,81.92,4.0,emo
13985,94270,94270.0,2sYA4fkDw3QxWq6a7m5FTV,Nick Bonin,Insecure,Insecure,55.0,113803.0,True,0.694,0.529,1.0,-7.753,0.0,0.0849,0.495,0.0,0.104,0.376,84.51,4.0,sad
13989,94268,94268.0,3AlVajn3U2MEuTeh4Z26vK,raspy,meadow,meadow,55.0,162540.0,True,0.747,0.615,5.0,-7.477,0.0,0.0452,0.207,6.86e-05,0.0846,0.578,94.437,4.0,sad
13996,33928,33928.0,3axhnTsNa4YefoyLGxjdWz,XXXTENTACION;Ski Mask The Slump God,"XXXTENTACION Presents: Members Only, Vol. 3",Bowser,55.0,187653.0,True,0.8,0.491,10.0,-8.293,0.0,0.0468,0.309,0.0,0.332,0.425,135.008,4.0,emo
14002,48213,48213.0,5KA6S4auXremQLoBIsKprz,Westside Connection,Bow Down,Bow Down,55.0,206933.0,True,0.892,0.455,9.0,-11.206,1.0,0.292,0.0181,0.0,0.344,0.473,92.885,4.0,hardcore
14003,48210,48210.0,06UPCXzhIsXnceSXmKLMEY,Nas,Stillmatic,Ether,55.0,277706.0,True,0.573,0.831,7.0,-5.586,1.0,0.433,0.0401,0.0,0.0909,0.766,76.352,4.0,hardcore
14008,48200,48200.0,6SMrWEWukd0DWh5iHGWgks,The Notorious B.I.G.;Eminem,Greatest Hits,Dead Wrong (feat. Eminem) - 2007 Remaster,55.0,297226.0,True,0.648,0.895,10.0,-3.187,1.0,0.28,0.195,0.00132,0.0335,0.817,82.122,4.0,hardcore
14017,106906,106906.0,0Fc9QSMX6fgEBgDjUax7t7,Zara Larsson;Steve James,Ruin My Life (Remixes),Ruin My Life - Steve James Remix,55.0,177096.0,True,0.723,0.837,11.0,-6.487,1.0,0.0389,0.0103,0.000477,0.0834,0.643,123.952,4.0,swedish
14048,72255,72255.0,2lLsjgDoS0Hg5pNNHymXGG,Bring Me The Horizon,amo,why you gotta kick me when i'm down?,55.0,268860.0,True,0.607,0.841,10.0,-4.805,0.0,0.136,0.175,1.33e-05,0.132,0.518,131.862,4.0,metalcore
14050,550,550.0,1ChZ4mrSLP8HImCY6IyImf,Adam Christopher,Peaches (Acoustic),Peaches - Acoustic,55.0,190909.0,True,0.675,0.243,0.0,-13.392,1.0,0.0413,0.797,0.0,0.214,0.707,142.87,4.0,acoustic
14051,15800,15800.0,491c4G5XxA8I80zNvR1rLR,Lund,Downhill,Downhill,55.0,176013.0,True,0.846,0.419,4.0,-8.957,0.0,0.0499,0.198,1.15e-05,0.0415,0.527,119.992,4.0,chill
14057,94396,94396.0,78ipAAYJBIkIPpnVtPHqWi,Foster;Zaini;Kailee Morgue,i tried everything (feat. Kailee Morgue & Zaini),i tried everything (feat. Kailee Morgue & Zaini),55.0,158260.0,True,0.731,0.593,10.0,-7.953,0.0,0.279,0.557,0.0,0.168,0.713,137.793,4.0,sad
14059,15753,15753.0,4K6e6JiR1KFohWedXSnvob,Verzache,My Head is a Moshpit,All I Need,55.0,203750.0,True,0.663,0.786,9.0,-5.325,1.0,0.0353,0.212,1.96e-06,0.0957,0.319,145.977,4.0,chill
14065,18053,18053.0,3ji3RdsWWyuuZyehLmYj0b,Lil Dicky;Brain,Professional Rapper,Pillow Talking (feat. Brain),55.0,645876.0,True,0.919,0.362,8.0,-8.331,1.0,0.368,0.576,0.0,0.134,0.416,104.987,4.0,comedy
14074,33955,33955.0,1fEl5TPKRJAsuP6TqZ23hB,Lil Pump,Lil Pump,D Rose,55.0,135497.0,True,0.781,0.553,0.0,-4.277,1.0,0.0735,0.201,0.000233,0.383,0.308,121.968,4.0,emo
14077,50660,50660.0,1KuNk1ZZPTZKwjjo1Vdw9G,Brothers of Metal,Prophecy of Ragnarök,Fire Blood and Steel,55.0,192000.0,True,0.541,0.912,0.0,-5.491,1.0,0.0455,9.26e-05,0.00518,0.168,0.139,120.05,3.0,heavy-metal
14086,94493,94493.0,0otgZLlu99XIIEuSTI7BBD,Dustystaytrue,True To Me,Solar System,55.0,154225.0,True,0.768,0.528,11.0,-11.82,0.0,0.253,0.354,0.0,0.111,0.674,150.086,4.0,sad
14107,94892,94892.0,2qUuP1AaT9opDTyFFOnCiq,Sinoda;XANAKIN SKYWOK,Abrakadabra,Abrakadabra,55.0,148212.0,True,0.853,0.395,8.0,-11.538,1.0,0.107,0.169,0.0,0.301,0.444,124.936,4.0,sad
14125,71957,71957.0,54otdw8MmYNz2ewGHzmaTP,The Plot In You,FEEL NOTHING (RESET),FEEL NOTHING - RESET,55.0,220688.0,True,0.34,0.887,4.0,-4.54,0.0,0.0898,0.00345,2.72e-06,0.0622,0.215,144.081,4.0,metal
14130,21719,21719.0,1JiR4RJaZlbZ5b3HG8jkeL,Wizkid;Skepta,Made In Lagos,Longtime (feat. Skepta),55.0,239893.0,True,0.85,0.66,11.0,-4.846,0.0,0.169,0.417,5.14e-05,0.209,0.622,101.947,4.0,dancehall
14137,21709,21709.0,69GzHJZKbGZnYaEpHYaC4n,Skeng,London,London,55.0,151456.0,True,0.886,0.643,4.0,-8.788,0.0,0.157,0.529,0.0,0.0888,0.352,103.004,4.0,dancehall
14149,77082,77082.0,4skh7GqQ8E9DKwE1Mto7ZD,Kamisa 10,Bloco Poesia Acústica: Poesia 6 / Aurora Boreal (Ao Vivo em Goiânia),Bloco Poesia Acústica: Poesia 6 / Aurora Boreal (Ao Vivo em Goiânia),55.0,298985.0,True,0.693,0.907,5.0,-5.038,0.0,0.049,0.716,0.0,0.978,0.717,94.966,4.0,pagode
14160,67926,67926.0,1xwhDD7Ksuzs4bxVNCyYsX,Millonario,Trap y No Llores,Llegan Ya,55.0,191160.0,True,0.874,0.628,1.0,-6.41,0.0,0.21,0.0666,1.19e-05,0.15,0.323,113.048,4.0,latin
14161,33814,33814.0,5dkZ2DrcPJrqwlRQe6Q35e,XXXTENTACION;Rico Nasty,#PROUDCATOWNERREMIX,#PROUDCATOWNERREMIX,55.0,157293.0,True,0.783,0.522,1.0,-6.229,1.0,0.39,0.0287,4.13e-05,0.127,0.235,145.127,4.0,emo
14175,33851,33851.0,3Z9vR8JrHFyyjB0JoHzx6p,Landon Cube;24kGoldn,Pretty,Pretty,55.0,191440.0,True,0.679,0.853,0.0,-5.289,0.0,0.0659,0.195,0.0,0.132,0.767,76.064,4.0,emo
14176,48302,48302.0,1ioaV68BICIiSHpcqSUVHR,Funk Flex;CJ,You Know,You Know,55.0,111386.0,True,0.891,0.585,0.0,-6.122,0.0,0.131,0.0752,0.0,0.134,0.24,125.024,4.0,hardcore
14177,37249,37249.0,1RaXsunkY17Q43HFvD7JLh,MC Ryan SP;Pedro Lotto,Revoada Sem Você,Revoada Sem Você,55.0,201600.0,True,0.489,0.575,4.0,-6.948,0.0,0.0489,0.242,0.0,0.282,0.248,129.537,5.0,funk
14199,22204,22204.0,1NYlPHjmopAthEDeIGfJo3,Emmure,Hindsight,(F)Inally (U)Nderstanding (N)Othing,55.0,172394.0,True,0.519,0.898,6.0,-7.055,1.0,0.0758,0.000141,0.0433,0.378,0.196,106.543,4.0,death-metal
14200,106737,106737.0,4Qg2kS1NWSMdyXmBncoaHu,Rasmus Hagen;iamsimon,Love & Hurt (Deluxe Edition),No Tomorrow (Bonus Track),55.0,153151.0,True,0.717,0.588,7.0,-7.996,1.0,0.0387,0.0859,1.06e-05,0.168,0.568,109.996,4.0,swedish
14202,48312,48312.0,2BaSlRAT2nI6M7lU5XJDZY,Westside Connection,Terrorist Threats,Terrorist Threats,55.0,148066.0,True,0.822,0.919,2.0,-5.282,1.0,0.274,0.395,6.07e-06,0.41,0.725,93.998,4.0,hardcore
14223,58701,58701.0,3jmelhU4kuytaLPLeiAerH,Ill Niño,Revolution Revolucion,I Am Loco,55.0,210533.0,True,0.516,0.945,7.0,-4.202,1.0,0.0979,0.000602,0.0683,0.0841,0.101,174.756,4.0,industrial
14271,103561,103561.0,7ckfO3Cerf6OsNgdHBqf1b,Daniel Di Angelo,Drive You Insane,Drive You Insane,55.0,212062.0,True,0.732,0.492,7.0,-7.672,0.0,0.0545,0.488,1.66e-05,0.102,0.225,119.904,4.0,soul
14280,82152,82152.0,4HJc004qYXE9zsG6PfTFFj,glass beach,the first glass beach album,bedroom community,55.0,361328.0,True,0.46,0.694,1.0,-5.49,1.0,0.0468,0.0477,0.000112,0.367,0.337,134.935,4.0,power-pop
14286,72510,72510.0,7N1t3vT849WXqA4QA1IjoV,I Prevail,TRAUMA,Deadweight,55.0,184333.0,True,0.509,0.968,1.0,-4.075,1.0,0.0802,4.28e-05,4.31e-05,0.353,0.37,104.97,4.0,metalcore
14295,94584,94584.0,1p7XK6eR8AUUp30TJaH9e5,Gomey;Xuitcasecity,Red Flags,Red Flags,55.0,140636.0,True,0.478,0.722,10.0,-6.162,1.0,0.043,0.0188,0.0,0.395,0.344,156.947,4.0,sad
14298,33413,33413.0,08pVm2BCyMSevBLXYLysqi,FACE,SLIME,СПАСАТЕЛЬНЫЙ КРУГ,55.0,153256.0,True,0.766,0.728,8.0,-4.065,0.0,0.254,0.303,0.0,0.126,0.732,152.014,4.0,emo
14306,15963,15963.0,6uTFRlLA96Anvye2KffDqy,iyla,Sad Bitch Bad Bitch,Sad Bitch Bad Bitch,55.0,174005.0,True,0.722,0.476,1.0,-4.974,0.0,0.0342,0.39,0.0,0.102,0.291,129.96,4.0,chill
14314,84181,84181.0,4Ev1LZ4uzjnSvDHpgdyBZK,Pink Floyd,The Division Bell,Lost for Words,55.0,314960.0,True,0.599,0.399,0.0,-14.014,1.0,0.0248,0.128,0.00337,0.712,0.222,96.329,4.0,psych-rock
14319,98808,98808.0,0ChcE4uENOGTEthE5dGaXX,Barrett Wilbert Weed,Heathers: The Musical (World Premiere Cast Recording),Fight for Me,55.0,155493.0,True,0.337,0.326,3.0,-8.717,1.0,0.0309,0.58,0.0,0.216,0.117,98.552,4.0,show-tunes
14340,48462,48462.0,1ygjXzCzApOeNr396plHmT,Obie Trice;D12;Eminem,Cheers,Outro (Obie Trice/ Cheers),55.0,242800.0,True,0.848,0.771,8.0,-1.697,0.0,0.151,0.101,4.14e-06,0.181,0.16,93.556,4.0,hardcore
14363,33402,33402.0,3dzwxkefk58p6aXC3ADRt9,PHARAOH,"Дико, например","Дико, например",55.0,168000.0,True,0.891,0.624,6.0,-6.636,1.0,0.0789,0.114,0.00711,0.104,0.084,90.073,4.0,emo
14366,27120,27120.0,6UNESFieJ7rXvEKO1V2Fw8,Hybrid Minds;Grace Grundy,Bad To Me (feat. Grace Grundy),Bad To Me (feat. Grace Grundy),55.0,251034.0,True,0.371,0.931,0.0,-2.297,0.0,0.0485,0.000619,0.0378,0.0943,0.145,86.935,4.0,drum-and-bass
14416,36502,36502.0,49hAL0xPGPpjnshjQA22tq,H Magnum,Bansky,Goudou,55.0,139426.0,True,0.709,0.697,8.0,-7.084,0.0,0.296,0.427,0.00427,0.258,0.603,189.79,4.0,french
14427,103855,103855.0,6Xqr4ZNyNs82araxoyT4PT,Lithe,Numb,Numb,55.0,158677.0,True,0.903,0.241,0.0,-12.643,0.0,0.0833,0.62,0.00298,0.109,0.275,121.006,4.0,soul
14457,33330,33330.0,1st5ppYJ8p8yvicelw94zx,XXXTENTACION,LOOK AT ME: THE ALBUM,FAILURE IS NOT AN OPTION (Interlude),55.0,43840.0,True,0.444,0.759,1.0,-6.709,0.0,0.515,0.0533,1.22e-06,0.353,0.232,177.911,5.0,emo
14474,60306,60306.0,6OhkL5aQSgWJvK8LaF1Tp9,Skeng,23,23,55.0,144076.0,True,0.889,0.479,10.0,-8.624,0.0,0.099,0.355,0.0,0.0983,0.463,104.009,4.0,j-dance
14475,60335,60335.0,4OGhqENXneIdSfMPHRb1Og,Popcaan,Skeleton Cartier,Skeleton Cartier,55.0,221583.0,True,0.549,0.82,2.0,-4.433,1.0,0.379,0.314,0.0,0.226,0.357,96.725,4.0,j-dance
14492,94981,94981.0,409qeWve1NEa9hkbrTjaUo,Yxngxr1,Tyler,Tyler,55.0,126544.0,True,0.908,0.567,1.0,-8.192,1.0,0.148,0.282,0.0,0.119,0.723,97.99,4.0,sad
14505,58274,58274.0,7wwLxmUVLCfySaJ0fdyelI,Mindless Self Indulgence,Frankenstein Girls Will Seem Strangely Sexy,Bitches,55.0,165693.0,True,0.696,0.72,9.0,-6.804,1.0,0.0976,0.0263,0.0647,0.192,0.542,95.897,4.0,industrial
14517,32168,32168.0,6BSPfADBMriOIJmiNnc6mC,GRAVEDGR;City Morgue,6 FEET UNDER,WARDOGZ,55.0,154616.0,True,0.619,0.899,4.0,-3.914,0.0,0.397,0.0689,0.0,0.106,0.507,150.186,4.0,electronic
14522,15139,15139.0,7wMLXhblVgMD1dKG4T0QQI,fenekot,Slowed + Reverb,Payphone (Slowed + Reverb),55.0,123343.0,True,0.507,0.306,8.0,-14.906,1.0,0.0583,0.94,0.631,0.11,0.124,88.106,4.0,chill
14528,49014,49014.0,3TRVbGbpw25iGsPlFaGShS,Zatox,Oxygen,For Ever,55.0,267200.0,True,0.352,0.794,0.0,-4.584,0.0,0.0501,0.0168,1.51e-05,0.109,0.155,149.953,4.0,hardstyle
14530,15112,15112.0,7mMzlK2pYVbgkUL1zaGGyV,dhruv,rapunzel,grateful,55.0,241458.0,True,0.507,0.516,6.0,-9.67,1.0,0.106,0.457,0.0284,0.128,0.486,83.951,4.0,chill
14554,33507,33507.0,1q8PAOcnI1tciyj3BVpVhw,6ix9ine;Lil Baby,DUMMY BOY,TIC TOC,55.0,135739.0,True,0.82,0.691,6.0,-6.646,0.0,0.0723,0.0113,0.0,0.344,0.683,142.028,4.0,emo
14592,83862,83862.0,1rIoZ8H3v3InBt8YbMBapx,Lane 8,Brightest Lights,The Rope (feat. POLIÇA),55.0,295081.0,True,0.711,0.489,7.0,-11.962,1.0,0.0375,0.0902,0.38,0.133,0.0514,122.002,4.0,progressive-house
14607,21214,21214.0,0UaHOCvFu9vN3dJcVJoPgg,Shenseea;Dunw3ll,Pon Mi - Single,Pon Mi,55.0,139684.0,True,0.861,0.701,2.0,-4.911,0.0,0.0606,0.445,0.0,0.218,0.846,123.995,5.0,dancehall
14621,11614,11614.0,3P1w3tnyexMjfY0Eh8spEI,YUNGBLUD,21st Century Liability,Kill Somebody,55.0,187880.0,True,0.722,0.781,1.0,-5.772,0.0,0.219,0.103,0.0,0.0849,0.494,148.066,4.0,british
14638,63871,63871.0,3Zik0kcruJ6vZukE5YvVbF,ONE OK ROCK,Luxury Disease (Japanese Version),Neon,55.0,184543.0,True,0.597,0.897,4.0,-3.924,1.0,0.0693,0.000467,0.0,0.36,0.576,137.016,4.0,j-rock
14645,86406,86406.0,5U6sM9kRxOJ2dXPyUT4w7l,ssshhhiiittt!,Третья жизнь,засыпай,55.0,247678.0,True,0.521,0.838,8.0,-6.754,0.0,0.0409,0.00684,5.49e-06,0.0964,0.39,103.951,4.0,punk
14659,2205,2205.0,0L7lTy1aRn1TYYCTazcO5j,The Seige,Run for Your Life,Run for Your Life,55.0,180137.0,True,0.714,0.905,4.0,-5.137,0.0,0.245,0.0921,0.00149,0.0863,0.362,118.119,4.0,alt-rock
14662,11553,11553.0,4KzOYxD4qIkUtZV9ZYakGu,YUNGBLUD;Dan Reynolds,original me (feat. dan reynolds of imagine dragons),original me (feat. dan reynolds of imagine dragons),55.0,205320.0,True,0.471,0.786,1.0,-5.24,1.0,0.192,0.00888,1.89e-06,0.187,0.61,160.01,4.0,british
14673,49058,49058.0,3XuCZp3yFGaIxhqGToihix,Zatox,Past. Present.,Wolves,55.0,270000.0,True,0.435,0.871,0.0,-4.953,1.0,0.109,0.0322,0.0234,0.197,0.0372,159.743,4.0,hardstyle
14683,11589,11589.0,24qhW8fqWyrMHqkBfM2HPk,YUNGBLUD,the underrated youth,hope for the underrated youth,55.0,240906.0,True,0.225,0.774,11.0,-3.18,0.0,0.0483,0.0222,0.0,0.111,0.167,157.525,4.0,british
14704,48607,48607.0,2nd0a9U9ICncohQPtjtVey,Funk Flex;Big Kap;Eminem;Dr. Dre,The Tunnel,If I Get Locked Up (Funkmaster Flex & Big Kap Feat. Eminem and Dr. Dre),54.0,220533.0,True,0.449,0.822,10.0,-4.648,0.0,0.389,0.0153,0.0,0.159,0.51,192.551,4.0,hardcore
14705,94697,94697.0,2ujHInqP3YZ1EZF2THczet,Sik World;AXYL,When Stars Align,No One Knows,54.0,235022.0,True,0.789,0.656,9.0,-8.559,0.0,0.108,0.28,0.0,0.179,0.0593,141.996,4.0,sad
14711,82900,82900.0,5CjwXdq5Z73Va0XCPFG5Aq,Weezer,Pinkerton,The Good Life,54.0,257000.0,True,0.539,0.893,6.0,-4.566,1.0,0.0423,0.14,0.0,0.339,0.683,135.76,4.0,power-pop
14725,37304,37304.0,1XqWGzOdE6Q6FgFwAg0t9R,Xamã;Bagua Records;Luccas Carlos,O Iluminado,Uma Linda Mulher,54.0,208000.0,True,0.704,0.616,6.0,-7.042,0.0,0.0818,0.299,0.0,0.0856,0.161,89.974,4.0,funk
14736,43723,43723.0,61nq0jg2PYWxUUiarofGBI,Machine Head,Circle The Drain,Circle The Drain,54.0,245137.0,True,0.442,0.932,11.0,-6.258,1.0,0.0575,0.000145,3.85e-06,0.28,0.303,152.028,4.0,groove
14737,94735,94735.0,2CXF3c5KrBsXZygtyQJtq9,iamjakehill,Wake Up,Wake Up,54.0,158316.0,True,0.775,0.658,2.0,-5.119,1.0,0.175,0.0988,0.0,0.111,0.325,139.978,4.0,sad
14743,94696,94696.0,5C6UoWO8yA33mdkRTv2Pdg,Josh A;Lil Revive,Disgrace,Darkness,54.0,112076.0,True,0.804,0.521,10.0,-7.753,1.0,0.0605,0.534,0.0,0.247,0.648,90.032,4.0,sad
14752,72673,72673.0,1e0Ug0zJLPFi1fmHGQfeko,Slaughter to Prevail,Kostolom,Bratva,54.0,290000.0,True,0.416,0.992,11.0,-2.045,1.0,0.115,0.000232,5.76e-05,0.0518,0.133,180.003,4.0,metalcore
14768,32624,32624.0,1hmiQTBi1ucDbqs0KEJ1c8,Party Favor;Lil Gnar,RESET,Spirits Pt. 2,54.0,121849.0,True,0.597,0.967,2.0,-3.479,1.0,0.331,0.111,0.0,0.11,0.25,145.995,4.0,electronic
14772,94702,94702.0,12whwTqw8VxC5DyUM6T9xM,Laeland;Snøw,I'm inlove but...,I'm inlove but...,54.0,160279.0,True,0.832,0.26,1.0,-13.279,0.0,0.076,0.759,0.00473,0.116,0.397,109.949,4.0,sad
14782,106908,106908.0,6s7PleW93OfE3YnujL9yxw,Tove Lo,Lady Wood,True Disaster,54.0,204194.0,True,0.608,0.759,1.0,-6.096,1.0,0.0441,0.0528,3.41e-06,0.103,0.336,96.959,4.0,swedish
14786,32803,32803.0,3XlHlWFhlI4OZiguOMcuuc,Slushii;Kaivon,Sober,Sober,54.0,224017.0,True,0.518,0.847,8.0,-5.489,0.0,0.274,0.0517,0.000283,0.159,0.341,150.037,4.0,electronic
14798,28210,28210.0,0C79m0V3CqruSMxOvHCwt3,MARAUDA;Scarlxrd,HEAVE,HEAVE,54.0,360000.0,True,0.393,0.99,1.0,-3.464,1.0,0.342,0.0134,0.276,0.386,0.129,132.495,4.0,dub
14805,86506,86506.0,5axNFRXx6NST1qeRolD8E9,ssshhhiiittt!,Третья жизнь,надежда,54.0,184179.0,True,0.493,0.971,7.0,-6.484,1.0,0.0491,0.00281,0.0487,0.111,0.293,104.984,4.0,punk
14821,23429,23429.0,7zhT90M07NLqJb2MsaqWhM,Refeci;Michel Fannoun,Pieces,Pieces,54.0,180000.0,True,0.697,0.57,7.0,-12.017,0.0,0.0343,0.327,0.263,0.156,0.0716,128.045,4.0,deep-house
14827,33501,33501.0,3BIc6CjDJxm6P1qCls2nKa,Lund,Gold,Alone,54.0,254000.0,True,0.741,0.354,2.0,-15.505,1.0,0.0812,0.656,0.702,0.384,0.037,120.018,4.0,emo
14829,23879,23879.0,7oahNRcO0CxOOQWlqpuH40,Syn Cole,Mind Blown,Mind Blown,54.0,161593.0,True,0.837,0.868,1.0,-4.045,0.0,0.0458,0.174,0.159,0.0512,0.962,122.002,4.0,deep-house
14858,29774,29774.0,30XZElqGTzvdg6clMAMcEp,Kayzo;Atreyu,Battle Drums,Battle Drums,54.0,209333.0,True,0.524,0.966,10.0,-2.141,1.0,0.452,0.0107,0.00327,0.439,0.386,89.896,4.0,dubstep
14891,23355,23355.0,6jvYUrFJeebfiHjyCvfiHE,HUGEL;Mishaal;LPW,Can't Love Myself (feat. Mishaal & LPW),Can't Love Myself (feat. Mishaal & LPW),54.0,156659.0,True,0.811,0.761,5.0,-5.281,0.0,0.0605,0.0706,2.01e-05,0.136,0.74,117.983,4.0,deep-house
14895,94974,94974.0,60QvDCrjIu6DmewWRxKKRa,Yxngxr1;Morgan Reese,Teenage Motel,NICE GUY,54.0,138151.0,True,0.785,0.5,8.0,-8.498,1.0,0.261,0.635,0.0,0.159,0.564,140.061,4.0,sad
14903,33304,33304.0,0V8Q2u0yxJ9yURkjblmPU9,PHARAOH,PHUNERAL,Мой кайф,54.0,161694.0,True,0.881,0.604,1.0,-8.117,1.0,0.198,0.226,0.121,0.163,0.431,118.05,4.0,emo
14921,111203,111203.0,1xqkbi0rZNNcbGv8r6kK8p,Little Dragon;JID,Opening The Door,Stay,54.0,228727.0,True,0.734,0.51,2.0,-11.198,1.0,0.111,0.214,0.000458,0.0679,0.586,80.002,4.0,trip-hop
14936,33271,33271.0,1SaxT2eggG2xalUM21tUSw,XXXTENTACION;Rick Ross,Bad Vibes Forever,I Changed Her Life,54.0,108213.0,True,0.703,0.612,0.0,-4.513,1.0,0.272,0.145,0.0,0.0938,0.184,159.896,4.0,emo
14951,56581,56581.0,2fwC1bsAd5GrTwvGBRep0p,salem ilese,(MORE) Unsponsored Content,ExBox,54.0,129343.0,True,0.839,0.559,11.0,-8.485,0.0,0.0656,0.274,0.0,0.395,0.887,121.932,4.0,indie-pop
14957,33405,33405.0,1tX0Z3tA7vsal85V1sw3QM,demxntia;Dion Dugas,serene//rewind,serene//rewind,54.0,156825.0,True,0.568,0.867,0.0,-5.183,1.0,0.15,0.209,0.0,0.407,0.441,175.994,4.0,emo
14986,111407,111407.0,3ceihRUljV1eSM1plIjsB6,Little Dragon,Lover Chanting (Jayda G Remix),Lover Chanting - Edit,54.0,205464.0,True,0.865,0.762,0.0,-7.444,1.0,0.0762,0.0166,0.795,0.0233,0.896,118.005,4.0,trip-hop
15005,43470,43470.0,6LRmV5GZUjKLgxi7lBWriQ,Five Finger Death Punch,The Way of the Fist,The Bleeding,54.0,268666.0,True,0.322,0.812,0.0,-5.568,0.0,0.0505,0.00149,0.0,0.0986,0.124,159.933,4.0,groove
15006,106801,106801.0,3PUIguYpwKFXmfGD6uU7Jl,Tove Lo,Sunshine Kitty,Glad He's Gone,54.0,196348.0,True,0.795,0.595,1.0,-8.073,1.0,0.0698,0.0823,0.0,0.128,0.502,91.025,4.0,swedish
15008,43473,43473.0,4G2GSsAneHpcG5J8cKGXyw,Five Finger Death Punch,American Capitalist (Deluxe),Remember Everything,54.0,278813.0,True,0.368,0.824,1.0,-4.07,0.0,0.0401,0.00943,0.0,0.11,0.12,161.974,4.0,groove
15015,48802,48802.0,1uJ5X7MrxTr21lG5ssm5fT,Nas;Big Sean;Don Toliver,King's Disease,Replace Me (feat. Big Sean & Don Toliver),54.0,170813.0,True,0.674,0.782,2.0,-2.512,1.0,0.101,0.172,0.0,0.86,0.694,84.927,4.0,hardcore
15021,94882,94882.0,4j0t2EQsJ8ebWWrq8LpPfV,Connor Price;Matty Beats,Receipts,Receipts,54.0,156031.0,True,0.908,0.695,0.0,-6.978,1.0,0.112,0.228,0.0,0.0542,0.712,107.067,4.0,sad
15023,33806,33806.0,3TLXje8bgwjb5gCjUMtDy1,Craig Xen;XXXTENTACION,Broken Kids Club,RUN IT BACK!,54.0,126798.0,True,0.867,0.403,6.0,-8.996,0.0,0.274,0.0535,7.73e-06,0.185,0.38,138.001,4.0,emo
15025,30736,30736.0,3aYidIc6HUMrL1tFTmokSZ,Unknown Brain;Dax;Hoober;VinDon,Faceless,Phenomenon,54.0,176100.0,True,0.7,0.878,0.0,-5.133,1.0,0.0989,0.0122,0.000525,0.32,0.367,99.997,4.0,edm
15033,94845,94845.0,5Ie5RZQsRAFaBy1EIBnc5e,VyOk,Existential,Hell On Earth,54.0,152400.0,True,0.623,0.636,8.0,-8.088,0.0,0.0521,0.488,0.0,0.103,0.126,99.884,4.0,sad
15038,103654,103654.0,2P13hDaVsOIvltSsXmZzXs,Aaryan Shah,The Dark Ages,Is This the Life I Chose?,54.0,217173.0,True,0.599,0.332,6.0,-9.434,0.0,0.0497,0.744,6.93e-05,0.133,0.184,93.941,4.0,soul
15047,32836,32836.0,4MmEOHYHdyb5hFOCkBfsF2,HEDEGAARD;CANCUN?,OBLIVION,JUMANJI (feat. CANCUN?),54.0,183240.0,True,0.823,0.555,1.0,-6.948,0.0,0.304,0.0191,3.55e-05,0.106,0.338,180.095,4.0,electronic
15056,62370,62370.0,7pxRBbUWBcVoTWi3MiFl6V,Tokyo Machine;Weird Genius;Lights,Last Summer,Last Summer,54.0,172551.0,True,0.641,0.915,0.0,-3.543,1.0,0.0328,0.261,0.0,0.219,0.898,144.953,4.0,j-pop
15058,94840,94840.0,3MrZcAFdNmtPVbob9QYvs4,Aries,"BELIEVE IN ME, WHO BELIEVES IN YOU",DITTO,54.0,150322.0,True,0.645,0.579,4.0,-9.137,1.0,0.1,0.524,1.78e-05,0.161,0.525,92.977,4.0,sad
15066,94822,94822.0,7a5TsU5Nw3VPrR1HH7mHJN,Aries,"BELIEVE IN ME, WHO BELIEVES IN YOU",ETA,54.0,163333.0,True,0.707,0.642,8.0,-5.95,1.0,0.0393,0.0767,0.0,0.196,0.242,90.026,4.0,sad
15072,33762,33762.0,5fr1gqzvwrPrGS76ltBsFK,brakence,punk2,rosier/punk2,54.0,222493.0,True,0.521,0.254,2.0,-13.554,1.0,0.407,0.654,0.0,0.427,0.55,115.65,4.0,emo
